Dep,Prov,gas,sis,acsedu
Amazonas,Chachapoyas,10641,32.86,18.668
,Bagua,9917,54.088,24.452
,Bongara,4659,18.057,7.536
,Condorcanqui,1.536,33.802,16.281
,Luya,6.339,36.541,13.777
,Rodriguez de Mendoza,3.781,20.815,8.693
,Utcubamba,16.078,80.664,34.334
Ancash,Huaraz,30.307,90.834,55.893
,Aija,478,4.542,1.871
,Antonio Raymondi,776,11.048,4.966
,Asuncion,787,5.337,2.332
,Bolognesi,2.408,15.559,6.845
,Carhuaz,3.614,36.131,13.162
,Carlos Fermin Fitzcarrald,859,15.101,5.984
,Casma,10.021,27.818,14.738
,Corongo,510,5.256,2.07
,Huari,3.527,44.572,17.933
,Huarmey,7.35,15.69,8.537
,Huaylas,5.599,38.996,15.77
,Mariscal Luzuriaga,560,17.682,7.044
,Ocros,653,4.524,1.719
,Pallasca,802,19.206,7.719
,Pomabamba,1.072,20.664,8.941
,Recuay,1.838,12.173,4.964
,Santa,111.257,173.084,135.383
,Sihuas,1.235,23.21,9.085
,Yungay,4.79,40.007,15.29
Apurimac,Abancay,24.149,69.823,40.032
,Andahuaylas,16.34,109.382,49.217
,Antabamba,1.486,8.971,3.355
,Aymaraes,4.173,19.33,6.82
,Cotabambas,5.051,37.343,16.264
,Chincheros,3.157,37.927,15.136
,Grau,2.088,17.853,6.981
Arequipa,Arequipa,305.02,234.872,355.316
,Camana,16.702,22.004,16.56
,Caraveli,10.537,17.382,10.447
,Castilla,7.942,14.549,9.277
,Caylloma,23.328,37.063,25.31
,Condesuyos,3.111,7.398,3.78
,Islay,14.388,14.175,14.174
,La Union,1.785,9.491,3.78
Ayacucho,Huamanga,54.658,172.717,107.791
,Cangallo,3.793,26.679,9.666
,Huanca Sancos,1.488,6.894,2.717
,Huanta,13.678,69.98,31.086
,La Mar,8.378,59.363,22.634
,Lucanas,7.784,36.246,14.563
,Parinacochas,4.748,19.605,8.822
,Paucar del Sara Sara,1.565,6.759,2.743
,Sucre,1.228,7.324,2.93
,Victor Fajardo,2.561,15.241,5.673
,Vilcas Huaman,1.528,14.369,4.65
Cajamarca,Cajamarca,55.831,178.141,118.936
,Cajabamba,6.724,56.918,23.799
,Celendin,6.299,63.004,26.112
,Chota,13.889,110.99,43.812
,Contumaza,3.081,20.58,7.533
,Cutervo,11.372,104.181,38.612
,Hualgayoc,5.871,57.657,22.164
,Jaen,32.703,126.175,59.985
,San Ignacio,13.614,106.271,43.852
,San Marcos,4.825,39.033,14.241
,San Miguel,3.463,38.181,12.128
,San Pablo,1.431,17.931,6.346
,Santa Cruz,2.876,29.075,10.714
Callao,Provincia Constitucional del Callao,231.363,312.949,308.116
Cusco,Cusco,115.56,143.128,160.576
,Acomayo,2.757,19.065,8.366
,Anta,7.704,40.044,17.459
,Calca,8.488,46.196,20.669
,Canas,2.211,27.962,11.158
,Canchis,18.212,60.556,33.937
,Chumbivilcas,6.727,54.137,22.371
,Espinar,10.593,32.449,18.42
,La Convencion,21.308,93.122,40.365
,Paruro,2.529,22.122,7.801
,Paucartambo,3.481,36.179,15.301
,Quispicanchi,11.125,66.607,31.034
,Urubamba,9.165,32.295,19.084
Huancavelica,Huancavelica,17.022,82.426,42.77
,Acobamba,3.417,33.668,12.675
,Angaraes,4.076,37.111,18.241
,Castrovirreyna,1.605,11.017,4.405
,Churcampa,2.133,27.486,11.091
,Huaytara,1.808,13.412,4.647
,Tayacaja,6.667,69.662,26.527
Huanuco,Huanuco,54.165,159.504,100.998
,Ambo,7.303,38.418,14.778
,Dos De Mayo,2.246,26.873,11.834
,Huacaybamba,478,13.976,6.22
,Huamalies,2.708,43.599,17.63
,Leoncio Prado,22.915,76.464,40.8
,Marañon,1.834,21.963,9.73
,Pachitea,4.828,41.23,15.591
,Puerto Inca,4.089,21.023,9.572
,Lauricocha,760,14.182,6.103
,Yarowilca,638,18.033,7.166
Ica,Ica,83.66,110.939,128.103
,Chincha,46.211,57.815,72.137
,Nazca,15.67,27.089,20.594
,Palpa,2.735,7.154,3.909
,Pisco,31.368,51.311,48.357
Junin,Huancayo,128.168,191.831,192.686
,Concepcion,7.842,31.107,17.554
,Chanchamayo,27.129,81.939,46.333
,Jauja,14.867,44.62,25.927
,Junin,5.402,13.363,6.7
,Satipo,17.819,138.73,68.721
,Tarma,20.843,47.186,25.147
,Yauli,9.086,8.501,10.946
,Chupaca,9.88,24.085,16.787
La.Libertad,Trujillo,228.445,306.132,310.646
,Ascope,27.273,41.03,32.083
,Bolivar,775,11.233,4.96
,Chepen,17.608,39.774,22.626
,Julcan,3.524,24.393,8.289
,Otuzco,5.238,57.712,21.623
,Pacasmayo,25.066,48.846,30.457
,Pataz,6.014,47.224,25.498
,Sanchez Carrion,12.691,114.892,47.764
,Santiago de Chuco,2.587,38.084,16.15
,Gran Chimu,3.368,19.414,7.382
