Departamento,Provincia,casti,habil,
Amazonas,Bagua,25980,6211,
,Bongara,"8,374",20917,
,Chachapoyas,"15,671",40752, 
,Condorcanqui,"14,024",38273,
,Luya,"12,606",35017,
,Rodriguez de Mendoza,"7,967",22886,
,Utcubamba,"36,540",86231,
ancash,Aija,"2,325",5817,
,Antonio Raymondi,"5,056",10921,
,Asuncion,"2,860",5968,
,Bolognesi,"7,690",18779,
,Carhuaz,"18,781",38672,
,Carlos Fermin Fitzcarrald,"6,462",1401,
,Casma,"11,328",37445,
,Corongo,"2,174",5688,
,Huaraz,"58,628",12936,
,Huari,"27,357",56793,
,Huarmey,"7,621",23652,
,Huaylas,"13,625",42646,
,Mariscal Luzuriaga,"8,383",161,
,Ocros,"1,642",5468,
,Pallasca,"7,451",17769,
,Pomabamba,"9,061",18893,
,Recuay,"7,790",16039,
,Santa,"119,916",356727,
,Sihuas,"9,602",21668,
,Yungay,"19,705",4385,
Apurimac,Abancay,"43,244",82538,
,Andahuaylas,"65,475",113295,
,Antabamba,"4,797",9274,
,Aymaraes,"11,122",21331,
,Chincheros,"19,791",35242,
,Cotabambas,"20,212",3607,
,Grau,"9,703",1825,
Arequipa,Arequipa,"433,994",901611,
,Camana,"20,623",48565,
,Caraveli,"8,422",26213,
,Castilla,"12,800",25959,
,Caylloma,"46,879",74641,
,Condesuyos,"5,918",1194,
,Islay,"24,149",45429,
,La Union,"5,300",1091,
Ayacucho,Cangallo,"14,901",25505,
,Huamanga,"130,495",212392,
,Huanca Sancos,"4,219",7571,
,Huanta,"37,717",70009,
,La Mar,"31,155",57117,
,Lucanas,"15,932",35663,
,Parinacochas,"8,985",18008,
,Paucar del Sara Sara,"3,051",6659,
,Sucre,"3,425",7708,
,Victor Fajardo,"8,745",16777,
,Vilcas Huaman,"8,199",15873,
Cajamarca,Cajabamba,18407,57201,
,Cajamarca,114306,273272,
,Celendin,31762,67577,
,Chota,66988,121394,
,Contumaza,8516,2173,
,Cutervo,42346,98205,
,Hualgayoc,41949,71739,
,Jaen,7276,158905,
,San Ignacio,53076,103195,
,San Marcos,17596,39727,
,San Miguel,18354,39653,
,San Pablo,9781,18527,
,Santa Cruz,13949,32122,
Cusco,Acomayo,12.645,19229,
,Anta,31243,48975,
,Calca,33987,54375,
,Canas,20979,29976,
,Canchis,54914,80435,
,Chumbivilcas,37205,56496,
,Cusco,188294,356439,
,Espinar,31461,45665,
,La Convencion,80604,150555,
,Paruro,14739,24396,
,Paucartambo,23356,34593,
,Quispicanchi,45833,69572,
,Urubamba,35261,54574,
Callao,Callao,198503,824496,
Huancavelica,Acobamba,19060,33498,
,Angaraes,22351,37599,
,Castrovirreyna,6194,15346,
,Churcampa,13783,27226,
,Huancavelica,58658,95192,
,Huaytara,6890,18290,
,Tayacaja,39343,72692,
Huanuco,Ambo,19053,43046,
,Dos de Mayo,13494,28260,
,Huacaybamba,5666,12794,
,Huamalies,20869,42898,
,Huanuco,100117,228782,
,Lauricocha,8868,17578,
,Leoncio Prado,36550,100653,
,Marañon,8579,20200,
,Pachitea,20480,41193,
,Puerto Inca,9290,26435,
,Yarowilca,12590,24572,
Ica,Chincha,60889,169636,
,Ica,105869,298645,
,Nazca,20001,57819,
,Palpa,4385,11991,
,Pisco,42172,113273,
Junin,Chanchamayo,43805,125327,
,Chupaca,23896,48231,
,Concepcion,18344,47839,
,Huancayo,192763,441918,
,Jauja,24646,69503,
,Junin,7902,17765,
,Satipo,46149,128701,
,Tarma,26099,73433,
,Yauli,12994,29839,
La Libertad,Ascope,27260,94654,
,Bolivar,3522,11373,
,Chepen,20163,66588,
,Gran Chimu,4215,21851,
,Julcan,8611,16583,
,Otuzco,22808,68814,
,Pacasmayo,23759,79705,
,Pataz,17526,52983,
,Sanchez Carrion,33875,110055,
,Santiago de Chuco,13560,39189,
,Trujillo,189118,790766,
,Viru,27807,68712,
Lambayeque,Chiclayo,191094,669481,
,Ferreñafe,26528,78604,
,Lambayeque,72162,229571,
Lima,Barranca,36411,116953,
,Cajatambo,1437,5620,
,Cañete,62459,180820,
,Canta,4398,11546,
,Huaral,47573,150797,
,Huarochiri,33291,87022,
,Huaura,59687,177424,
,Lima,1938450,7558581,
,Oyon,4419,12601,
,Yauyos,7645,21280,
Loreto,Alto Amazonas,37196,90033,
,Datem del Marañon,11948,41743,
,Loreto,11058,48852,
,Mariscal Ramon Castilla,6172,47277,
,Maynas,104623,374577,
,Putumayo,825,6903,
,Requena,8780,46054,
,Ucayali,13163,44525,
Madre de Dios,Manu,5913,12413,
,Tahuamanu,3328,7981,
,Tambopata,48146,96119,
Moquegua,General Sanchez Cerro,7860,13091,
,Ilo,30351,63147,
,Mariscal Nieto,42309,72129,
Pasco,Daniel Alcides Carrion,12965,24010,
,Oxapampa,18793,73315,
,Pasco,51093,103357,
Piura,Ayabaca,37307,98436,
,Huancabamba,36285,90647,
,Morropon,38125,131526,
,Paita,28079,90955,
,Piura,150475,580987,
,Sechura,16243,53845,
,Sullana,50265,243023,
,Talara,32122,107029,
Puno,Azangaro,75730,98243,
,Carabaya,29851,45084,
,Chucuito,42898,60004,
,El Collao,39090,53327,
,Huancane,40688,54989,
,Lampa,26417,35855,
,Melgar,39150,54677,
,Moho,13967,21352,
,Puno,121889,182477,
,San Antonio de Putina,17280,22609,
,San Roman,151974,220844,
,Sandia,27808,41947,
,Yunguyo,19071,30608,
San Martin,Bellavista,17096,41349,
,El Dorado,11569,28470,
,Huallaga,8189,22093,
,Lamas,23338,64173,
,Mariscal Caceres,16963,48315,
,Moyobamba,36838,96987,
,Picota,12310,32215,
,Rioja,40384,99156,
,San Martin,49503,146743,
,Tocache,25301,56829,
Tacna,Candarave,3725,5893,
,Jorge Basadre,5152,8544,
,Tacna,141357,262229,
,Tarata,3989,6308,
Tumbes,Contralmirante Villar,3159,15341,
,Tumbes,31485,117309,
,Zarumilla,6820,35121,
Ucayali,Atalaya,8287,37838,
,Coronel Portillo,89402,299131,
,Padre Abad,23023,49879,
,Purus,369,3041,
