prov,Ag,AgN,Luz,LuzN,Ln,LnN,gas,sis,acsedu,poblacion,sabe leer,no sabe,no tiene rel,si tiene rel,electores,votoscas
ABANCAY,28019,2583,29588,3050,70024,17310,24149,69823,64863,24468,90367,14528,2795,84539,82538,43244
ACOBAMBA,7308,1914,8968,2256,27129,2481,3417,33668,23543,6798,27896,8322,319,29291,33498,19060
ACOMAYO,5593,472,5364,1541,16124,1642,2757,19065,13580,3380,17195,4751,158,17608,19229,12645
AIJA,1392,111,1528,413,2017,2983,478,4542,4168,841,5310,729,38,4962,5817,2325
ALTO AMAZONAS,10980,3316,20021,7946,16865,67610,13622,94397,70090,21694,93836,19974,5269,79206,90033,37196
AMBO,8574,2440,10364,3987,16369,22864,7303,38418,33119,9511,38142,9755,611,38622,43046,19053
ANDAHUAYLAS,33067,4373,31916,8438,97902,11664,16340,109382,85779,26917,107058,27938,1557,108009,113295,65475
ANGARAES,9714,1573,9529,4444,33389,3556,4076,37111,28181,8677,35957,10465,546,36399,37599,22351
ANTA,11036,2610,12663,2864,37397,6983,7704,40044,35843,10341,43808,9494,537,43843,48975,31243
ANTABAMBA,2875,201,2736,1235,8108,810,1486,8971,7485,1524,8790,2050,83,8835,9274,4797
ANTONIO RAIMONDI,2890,601,3089,697,6500,3508,776,11048,7957,1594,10245,2678,51,9957,10921,5056
AREQUIPA,237591,30898,266851,22736,310227,568468,305020,234872,676591,233396,951789,80118,38814,839881,901611,433994
ASCOPE,21007,5950,28253,2026,10710,81256,27273,41030,78113,20132,99353,10843,8305,83661,94654,27260
ASUNCION,1909,181,2032,270,3162,2627,787,5337,4714,948,5309,1737,38,5751,5968,2860
ATALAYA,4492,850,4846,7283,19388,11896,3814,34792,27694,9202,33301,11659,7419,23865,37838,8287
AYABACA,14367,2168,21252,9210,6883,78726,8635,98251,71310,16923,87448,24805,1554,84055,98436,37307
AYMARAES,6586,756,7077,1516,17292,2356,4173,19330,16462,3400,18535,4747,421,19227,21331,11122
AZANGARO,13922,1878,27035,10224,83367,3801,15275,80683,70341,20849,86705,18564,1492,85676,98243,75730
BAGUA,11073,3541,13204,6316,15405,39142,9917,54088,45109,13474,58015,11546,7254,47293,62110,25980
BARRANCA,30055,4983,35921,2205,26030,88512,36278,71313,93793,27216,123422,13890,5779,108763,116953,36411
BELLAVISTA,4974,3503,11361,3190,3297,36469,7404,42126,34498,9443,43573,8100,4223,35543,41349,17096
BOLIVAR,2513,329,2650,1203,894,9361,775,11233,8543,1905,11143,2360,429,9826,11373,3522
BOLOGNESI,4939,583,5375,1443,9027,9930,2408,15559,15911,3873,19861,2895,429,18528,18779,7690
BONGARA,5747,534,6025,1283,1346,18565,4659,18057,16832,4361,20918,3450,979,18932,20917,8374
