prov,poblacionjoven,sabeleer,noTieneRel,agua,alumbrado,etniticidad,gas,sis,acsedu,electores,votoscas,porcentaje
ABANCAY,0.221389793702497,0.817652913499819,0.032003572491813,0.91559375204235,0.906550646485691,0.801795406141938,0.704668806536329,0.631768005790807,0.381638781638782,82538,43244,0.7423
ACOBAMBA,0.177920854271357,0.730108877721943,0.0107733873691321,0.792452830188679,0.799002138275125,0.916210739614995,0.29280205655527,0.881176716917923,0.349964106245513,33498,19060,0.8712
ACOMAYO,0.147340889276373,0.749564080209242,0.00889339187211528,0.922176422093982,0.776828385228096,0.907576269278397,0.385324947589099,0.831081081081081,0.381208420668915,19229,12645,0.93
AIJA,0.133153894870171,0.840721975934136,0.0076,0.926147704590818,0.787223080886141,0.4034,0.238403990024938,0.719126029132362,0.309819506540818,5817,2325,0.622
ALTO AMAZONAS,0.176769199429619,0.764603788959055,0.0623734832790767,0.768047006155568,0.715879429327422,0.199644865344777,0.469578406701369,0.769174984721939,0.384149020296986,90033,37196,0.6908
AMBO,0.186930031446541,0.749646226415094,0.0155736242448959,0.778463773379335,0.722179639049544,0.417225295032243,0.491255213238262,0.755070754716981,0.308537069127503,43046,19053,0.6767
ANDAHUAYLAS,0.188921720698779,0.751405490008914,0.0142106127813373,0.883199786324786,0.790900530306785,0.893543617545589,0.384045878675347,0.767716894656681,0.36458117277549,113295,65475,0.8282
ANGARAES,0.176336700062999,0.730729367772878,0.0147787251319529,0.860636130061132,0.681958061976669,0.903748815807281,0.285454163456825,0.75418131566647,0.392938692861143,37599,22351,0.8878
ANTA,0.183983916307867,0.779418567412732,0.0121000450653448,0.808735160486589,0.815547111483223,0.842654348805768,0.459940298507463,0.712450628046828,0.327548684852351,48975,31243,0.8822
ANTABAMBA,0.13474801061008,0.777188328912467,0.00930701951110114,0.934655396618986,0.688995215311005,0.909172460192868,0.36421568627451,0.793191865605659,0.30950184501845,9274,4797,0.8405
ANTONIO RAIMONDI,0.116776556776557,0.750549450549451,0.00509592326139089,0.827843024921226,0.815900686740623,0.649480415667466,0.197606315253374,0.809377289377289,0.384276096881529,10921,5056,0.8652
AREQUIPA,0.215980418920357,0.880768251999982,0.044172323730077,0.884918935226397,0.921488188350996,0.353054245215917,0.930619965828655,0.217346282509821,0.344329479303852,901611,433994,0.6295
ASCOPE,0.17387248890194,0.858074378594994,0.0903051127590631,0.779278109581927,0.933088939529046,0.116456081595372,0.859912977676882,0.354360630818925,0.291144869142256,94654,27260,0.3999
ASUNCION,0.128490105719707,0.719571699647601,0.00656417343237174,0.913397129186603,0.882710686359687,0.546208326135775,0.333615938957185,0.723366766061263,0.330967925063866,5968,2860,0.7757
ATALAYA,0.186562322601573,0.675148000973157,0.237149980820867,0.840883564208162,0.399538296644406,0.619741721007544,0.309728764008446,0.705376692887844,0.38403024911032,37838,8287,0.4629
AYABACA,0.14186793196241,0.733089104428815,0.0181522970715696,0.86888418506199,0.697656096119756,0.0804004251889404,0.274074779407097,0.823652200155926,0.364738581596928,98436,37307,0.7326
AYMARAES,0.139877401571564,0.762537540626157,0.0214271172638437,0.897030781803323,0.823577330385197,0.880089576547231,0.477186963979417,0.795244168346567,0.29293016063912,21331,11122,0.7993
AZANGARO,0.188863323429234,0.785428291905211,0.0171163729809104,0.881139240506329,0.725596500174455,0.95639454845815,0.384334742351047,0.730877237480977,0.33179758523402,98243,75730,0.9544
BAGUA,0.181835357624831,0.782928475033738,0.132986232056758,0.75769809771452,0.676434426229508,0.282416998185051,0.484370421021784,0.729932523616734,0.351518810827906,62110,25980,0.7069
BARRANCA,0.188501257090614,0.854835470041072,0.0504531089032844,0.857782978480507,0.942165451397996,0.22725288540448,0.896860321384425,0.493922330500551,0.31693515497553,116953,36411,0.4413
BELLAVISTA,0.171587956317119,0.791761306852252,0.106196248051099,0.586764185442963,0.780771081025359,0.082910023638284,0.497279871045739,0.765467991932114,0.332378611654055,41349,17096,0.6378
BOLIVAR,0.131770076779415,0.770768485854603,0.0418332520721599,0.884236453201971,0.687775759148715,0.0871769868356899,0.191736763978229,0.776993843812686,0.367325779456417,11373,3522,0.6137
BOLOGNESI,0.162751607345464,0.834601000126066,0.0226301630004748,0.894422310756972,0.788354356116163,0.476182940338661,0.335049394740504,0.653821910324831,0.30079978906662,18779,7690,0.6582
BONGARA,0.170105706595936,0.815930101025861,0.0491688011651851,0.914981690813565,0.824438970990695,0.0676008236653106,0.596313835914502,0.704333580372119,0.309258043335522,20917,8374,0.6165
CAJABAMBA,0.165074583481972,0.743720850344181,0.0157331196736834,0.859139784946237,0.75205996227539,0.163977711413796,0.319703309243058,0.752018180136615,0.335093351355918,57201,18407,0.557
CAJAMARCA,0.212003455470636,0.79813048706638,0.0308750093165387,0.874550405919227,0.864162972441845,0.183517179697399,0.580502614970315,0.511263284476499,0.361144259119245,273272,114306,0.59
CAJATAMBO,0.112974538801647,0.827260253087361,0.0530683133925125,0.919127086007702,0.862899490504863,0.413739868776534,0.27248322147651,0.709559384052447,0.310235219326128,5620,1437,0.451
CALCA,0.176898107829942,0.757026363708337,0.0207802791076704,0.899931880108992,0.772189511913278,0.871264133645717,0.445353901044126,0.731470192383818,0.344632674158802,54375,33987,0.8759
CALLAO,0.202153054719284,0.88644375933892,0.0542040599893948,0.936317370301262,0.98280777714239,0.160648717871757,0.869040822152441,0.314681637093839,0.324624793893452,824496,198503,0.3258
CAMANA,0.188714839144349,0.861428330806805,0.0324448120109422,0.70749339635757,0.894279707899978,0.322327544160994,0.875871833866485,0.370624894727977,0.293128473820229,48565,20623,0.5923
CANAS,0.153983499569019,0.7584041374215,0.0150009740892266,0.919270420301348,0.62306302880502,0.948451198129749,0.206616204093075,0.860793005787465,0.359078329149772,29976,20979,0.9564
CANCHIS,0.195032054628605,0.801658070039886,0.030945310241518,0.931684285296453,0.828116964220116,0.894273475072929,0.606177606177606,0.632280159542256,0.371192317367955,80435,54914,0.9172
CANDARAVE,0.140117994100295,0.838905276958374,0.0244748506455965,0.902608695652174,0.760049730625777,0.685681248795529,0.274844720496894,0.594723041625696,0.219310111599594,5893,3725,0.903
